sentence,word,label
Tujhe kisiko kuch prove karne ki zarurat nahi hai,Tujhe,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,kisiko,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,kuch,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,prove,ENG
Tujhe kisiko kuch prove karne ki zarurat nahi hai,karne,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,ki,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,zarurat,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,nahi,URD
Tujhe kisiko kuch prove karne ki zarurat nahi hai,hai,URD
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,I,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,want,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,this,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,play,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,but,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,I,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,don't,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,know,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,the,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,rules,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,kabhi,URD
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,khela,URD
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,nahi,URD
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,hai,URD
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,but,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,I,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,choose,ENG
I want this play but I don't know the rules kabhi khela nahi hai but I choose dare,dare,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,wo,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,ghar,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,pe,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,thanda,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,khana,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,nahi,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,khati,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,lekin,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,show,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,ke,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,andar,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,khana,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,sacrifice,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,kari,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,to,URD
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,that's,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,not,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,her,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,real,ENG
wo ghar pe thanda khana nahi khati lekin show ke andar khana sacrifice kari to that's not her real face,face,ENG
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,Op,ENG
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,ko,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,kuch,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,pata,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,hai,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,nahi,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,editing,ENG
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,ke,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,through,ENG
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,chaat,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,raha,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,hai,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,Sarkar,URD
Op ko kuch pata hai nahi editing ke through chaat raha hai Sarkar ki,ki,URD
Beta apke bass ki baat nahi hai,Beta,URD
Beta apke bass ki baat nahi hai,apke,URD
